No.,5+2,5+1,5,4+2,4+1,4,3+2,3+1,2+2,3,1+2,2+1,2
935,12579000,0,278037.30,5792.40,152.80,78.30,50.50,10.40,16.20,8.50,8.60,5.80,2.90
934,6567504.30,105444.60,15063.50,2551,104.10,42.50,51,11,16.80,8.60,8.80,6.20,2.90
933,25605853,0,0,2622.80,122.60,66.20,37.40,9.40,11.80,8.10,6.40,5.20,2.70
932,20257321,147585.40,32796.70,3011.90,134.20,75.20,48,9.20,14.10,8.50,7.50,5,2.80
931,12870000,207554.10,34592.30,3706.30,174.90,86.20,42.70,11.70,12.50,9.70,6.50,6.20,3.10
930,47566032,101470.20,50735.10,1976.60,122.90,72.20,22.80,7.70,7.20,7.90,4.20,4.30,2.60
929,39327773,0,52533.10,3752.30,186,87.10,42.70,11.80,12.90,10.10,6.30,6.10,3.10
928,33820376,0,24685.20,2794.50,139.60,69.30,44.60,10.40,15.10,8.50,8.30,5.70,2.80
927,25724734,0,42734.10,3815.50,164,84.60,48,10.70,14.20,8.90,7.20,5.60,2.80
926,20140295,302680.50,33631.10,2565,152.70,84.20,33.70,10.20,10.80,9.30,5.50,5.40,3
925,12612000,0,40356.20,3152.80,125.20,71.80,32.90,9.50,11.20,8.70,5.90,5.40,2.90
924,61102442.90,0,35586.50,2916.90,143.30,63.20,44.60,10.60,14,8.50,7.10,5.60,2.80
923,51731973,0,0,3001.30,143.70,65.30,48.80,10.30,15.40,7.40,8.30,5.50,2.50
922,45790415,0,26017.30,2230,126.40,74,32.80,9.40,10.30,8.70,5.40,5,2.80
921,38223590,0,111147.80,3003.90,155.80,82.70,37.20,9.90,11.50,8.70,6.10,5.40,2.90
920,32611251,89836.60,16636.40,1803.90,95.40,46.30,33.90,7.40,11.80,6,7,4.60,2.30
919,25081394,0,26539.20,2527.50,147.40,63.60,45.10,10,14.90,7.10,8,5.60,2.40
918,20261530,126721.40,32853.70,1848,97.90,57.40,25,8.10,9.20,7.30,5.80,4.90,2.60
917,12760500,321019.50,53503.20,2892,165.70,83.30,56.50,11.30,16.30,9.60,8.20,5.90,3.10
916,20022696,0,37710.80,3078.40,168.10,67.60,55.20,11.10,16.70,7.90,9.30,5.90,2.50
915,12448500,0,0,4604.90,135.50,74.10,52.50,11.40,16.30,9.90,7.90,6.10,3.30
914,32395415,247242.50,36628.50,2891.70,114.50,51.50,41.50,8.70,13.90,6.70,8,5.30,2.50
913,23371931,357192.60,26458.70,2429.80,135.80,74.50,44.90,10.40,13.80,9.40,7.40,5.70,3.20
912,18818757,323608.70,29418.90,2129,112.20,52.80,33.20,8.90,11.20,7.10,6.40,5.40,2.60
911,11928000,0,44249.60,3814.60,182.90,89.70,52,11.50,16.40,9.30,9,6.40,3.10
910,67227348,0,0,1412.40,90.90,64.90,37.20,9.60,12.80,9.30,6.60,5.70,3.20
909,57100579,0,75989,2814.40,176.10,92.50,40.90,11.40,12.40,10.30,6.10,5.90,3.30
908,50611162,0,25105.10,2689.80,132,54.80,48.20,10.70,15.80,7.50,8.80,6.10,2.60
907,41708725,66382.20,29503.20,2553.10,115.40,65.80,38.60,8.70,13.40,8.70,7.70,5.20,3.10
906,35790545,137750.90,24489,2623.80,154.80,75.70,40.20,10.60,12.40,8.70,6.60,5.90,2.90
905,28279072,148143.90,0,2329.30,147.10,75.40,40,10.40,12.90,8.90,7.10,5.80,3
904,23593583,0,681684.60,2840.30,176.60,90.80,39.70,11.70,11.80,10.30,6.30,6.10,3.20
903,16625472,0,37532.40,3311.60,180.40,79.70,54.80,11.80,16.90,9.20,8.90,6.40,3
902,11811000,187950.60,18795,2936.70,142.20,48.10,57.50,11.80,18.30,6.70,9.60,6.90,2.50
901,57525794,0,48998.80,3585.20,201.90,94,52,12.40,15.30,10.20,7.90,6.30,3.10
900,51342488,0,36804.80,4488.40,194.70,96.70,68.30,14.40,20.30,10.80,10.40,7.60,3.30
899,43360228,0,0,1782.70,132.10,74.10,27.20,9.50,8.50,8.70,4.60,5.20,2.90
898,37275721,138694.20,52835.80,3934.50,176.40,75.20,57.50,11.70,17.20,8.30,9.30,6.10,2.60
897,28958268,186307.10,82803.10,4006.60,164.10,95.40,37.90,10.70,11.60,9.90,6,5.60,3.20
896,23868937,252900.90,67440.20,3665.20,164,69.70,52.50,11.90,17.50,8.80,9.30,6.70,3
895,16895105,0,0,1923.60,124.70,66.80,25.40,8.30,8.80,7.80,5.20,4.80,2.70
894,11932500,0,63834.10,3626.90,190.70,95.30,47.70,11.60,13.80,10.10,6.90,5.90,3.10
893,51818873.70,207523.40,23058.10,3739.10,120.90,52,45.60,9.30,15.50,6.60,8.60,5.70,2.50
892,46258071,562697.40,53590.20,3677.70,181.50,90.40,55,12,16.70,9.70,8.90,6.40,3
891,37762659,187582.60,25011,1582.90,82,54.90,24.80,6.80,9.10,7,5.50,4.50,2.60
890,31942807,0,0,2741.80,149.40,76.10,43.30,10.20,12.70,8.70,6.70,5.60,2.90
889,23722612,0,37214.60,4651.80,153.10,65.80,57.30,10.50,18.20,8.10,9.70,5.80,2.70
888,18978724,327323.40,54553.90,2517.80,152.10,86.30,35.30,11,10.30,9.90,5.50,5.80,3.20
887,11845500,682933.50,28455.50,2845.50,154.60,82.90,33,10.50,10,9.60,5.40,5.60,3.20
886,46514105,284508.40,0,3059.20,158.30,73.70,51,10.40,16,8.40,8.50,5.70,2.80
885,38751467,393508.80,29148.80,3857.90,166.80,75.60,48.20,10.20,15.20,7.90,8.60,5.60,2.60
884,32729736,370015.80,74003.10,4868.60,198.10,100.60,51.50,12.60,14.70,10.80,7.30,6.40,3.30
883,24864878,109182,0,2054.50,87,53.20,29.20,7.10,10.80,7.10,6.70,4.80,2.70
882,19432742,277165.40,0,2639.60,131.20,68.10,39.50,9.30,13.10,8.30,7.30,5.40,2.90
881,11698500,0,27103.10,3209.50,115.70,38.10,49.70,10.30,16.30,5.50,9.20,6.40,2.20
880,11842500,260731.10,19313.40,3778.70,114,49.90,44.30,9.10,15.60,6.90,9,5.60,2.50
879,24605103,0,41196.80,3531.10,207.10,75.50,57,13.60,16.20,8.90,8.50,7,2.80
878,19006842,0,0,2870,175.80,92.30,37.50,10.90,10.70,9.60,5.60,5.50,3
877,11700000,0,0,2996.10,156.80,69.60,52.70,11,16.30,8.40,8.80,6,2.70
876,24769931.90,0,24725.40,2687.50,151.30,85.60,39.40,10.50,12,9.70,6.10,5.60,3.20
875,17090950,376067.50,15669.40,2725.10,102.70,57.90,35.90,7.90,12.40,7.40,7.40,4.80,2.70
874,11541000,576435.20,48036.20,3202.40,189.50,101.10,49.90,12.30,14.40,10.70,7,6.60,3.30
873,11373000,167169.30,39802.20,2246.90,123.40,70.70,30.30,8.60,10.40,8.30,6.30,5.30,2.90
872,50382546,303465.20,121386.10,3128.50,139.30,81.40,40.40,9.60,12.80,8.70,7.20,5.40,2.90
871,87892394,0,103882.40,4328.40,189.50,90.10,53.70,12,14.90,10.30,7.60,6.30,3.30
870,79365304,193348.50,39661.20,3032.90,131.50,68.20,47.80,9.30,15.10,8.30,8.40,5.30,2.90
869,70146761,507038,37558.30,4694.70,210.60,109.40,47.50,13,13.30,11.20,6.20,6.70,3.60
868,62768100,0,0,3820.90,216.20,90.50,60.70,13.90,18.10,9.80,8.90,7.20,3
867,52409215,0,624487.60,3321.70,164.90,87,44.50,9.90,14.40,9.20,7.90,5.70,3
866,46235544,0,286182.20,3974.70,177.10,93.20,41.10,11.40,12.60,10.40,6.40,6,3.30
865,36601816,0,0,2978.30,209.40,99.60,48.60,13.10,16.50,10.50,9.60,6.80,3.20
864,31339370,183740.20,36748,3602.70,186.70,90.80,41.60,12.40,12.60,9.70,6.30,6.60,3.50
863,23871796,211553.40,28207.10,4549.50,220.30,109.30,58.60,12.60,16.70,11.30,8.10,6.20,3.40
862,18422340,160728.90,53576.30,1994.80,109.90,64.60,30.30,8.80,10.30,8.50,6,5.30,2.90
861,11112000,167583.90,46551,4504.90,195.80,101.60,64.20,13.30,18.20,10.80,9.20,6.60,3.20
860,60657149,349463.30,51772.30,3477.20,158.50,90.90,45.80,10.30,14.20,10.20,7.80,5.60,3.30
859,51599368,0,24815.80,3226,120.50,47.70,50.30,9.60,17.60,6.90,9.90,6,2.60
858,45271012,0,43356,5419.50,193.30,83.20,59.60,12.80,19.10,9.20,10.10,6.80,2.90
857,37358158,117688.20,0,3813.90,155.80,71,55.30,11.50,17.80,8.70,9.60,6.40,2.90
856,31893763,249490.10,34651.40,2143.30,112.50,50,38.60,9,12.70,7.50,7.50,5.40,2.80
855,23663957,107506.10,19112.10,1706.40,42,17.50,56,12.30,18.70,9.20,9.70,7.10,3.20
854,18467154,216587.60,108293.80,4246.80,178.90,96.70,51.70,12.50,15.20,10.90,7.80,6.50,3.40
853,10599000,0,25790.60,4891.30,185.50,58.60,58.10,13.30,19.30,7,10.30,7.40,2.50
852,114814234,276669.50,0,4498.60,212.70,106.90,58.80,13.20,17.90,11.80,8.70,6.70,3.70
851,101384894,0,60145.90,5012.10,202.90,85.80,58,13.40,18,8.70,9.50,7.20,2.80
850,92419190,441327.70,40863.60,2228.90,150,76.50,35.10,10.80,11.20,9.30,6.10,6,3.10
849,79495676,347476.80,51478,3563.80,155.70,81.50,36,11.10,11.70,9.40,6.30,6.10,3.10
848,71380000,252642.20,44914.10,3402.50,158.40,68.40,56.20,12,18,8.90,9.70,6.60,3
847,39134284,0,0,3416.20,182.80,94.10,48.30,13,15.10,10.70,7.40,6.90,3.40
846,33935721,150386,36457.20,2784.90,94.30,49,40,7.70,14.20,7.70,8.10,5,2.90
845,26892567,0,112812.90,2951.40,151.70,80.90,40.40,10.40,12.80,9,7.10,5.70,3
844,22011013,358320.90,51188.60,2488.30,181.80,85.20,37.10,11.40,11.80,9.50,6,6.10,3.10
843,15634628,357074.10,17003.50,4250.80,152,69.70,49.30,10.70,16.70,8.10,9.30,6.20,2.80
842,11035500,0,0,4065.30,204.60,90.80,54.80,12.40,17.30,9.70,9,6.50,3
841,11517653.60,731368,27087.70,3482.70,139,65.80,57.10,10.60,18.60,8.30,10,6.10,2.90
840,18085197,1059101,58838.90,5883.80,245.50,114.20,67.50,15.90,20.80,12.90,10.20,8,3.80
839,11101500,233306.20,23330.60,4022.50,145.80,67.90,44,10.10,14.30,8,7.90,5.80,2.80
838,11065500,79097.60,26365.80,3237.90,123.60,53.70,52.40,10,17.60,7.20,9.80,6.20,2.80
837,11152500,149089.30,0,1725.50,120.50,60.80,32.50,9.30,10.80,8.40,6,5.40,3
836,35170063.70,295347.30,0,2140.10,148.20,75.20,32.60,10,10.70,8.50,6,5.60,2.90
835,27140220,252623.60,19432.50,3508.60,121.80,60.30,42.10,9.50,16.50,7.70,9.20,5.60,2.80
834,22450618,0,60061.60,4869.80,187.90,111.60,52,11.10,15.90,10.80,8.30,5.50,3.40
833,15723801,121943.80,30485.90,2709.80,156.60,93.10,29.30,10.10,9.40,9.90,5.20,5.50,3.20
832,11032500,145322.10,0,2387.90,152.40,77.10,36.60,10.40,12.10,8.70,7.10,5.80,2.80
831,22464582.80,250492.10,62623,4174.80,205.20,96.20,59.60,13.80,17.90,11.10,9.10,7.10,3.40
830,17883898,354497.40,39388.60,3938.80,177.20,85.60,56.60,11.70,18.40,9,9.70,6.40,2.90
829,11077500,229413,57353.20,3018.50,136.30,68.70,41.40,9.90,13.40,7.90,7.50,5.70,2.80
828,10908000,270418.20,120185.80,2690.70,187.30,101.40,38.40,11.30,11.70,10.30,6.20,6,3.30
827,22297655,0,124917.30,3903.60,205.80,102.30,48.70,12.20,13.40,11.10,6.50,6.20,3.50
826,17370968,172177.80,43044.40,4199.40,197.90,91.10,65,14.10,19.50,10.40,10,7.30,3.20
825,10582500,175227.90,19469.70,1600.20,83.10,41.60,27.60,6.80,10.40,6,6.80,4.50,2.50
824,28595278.40,161532.80,53844.20,4096.80,211.10,103.90,43.50,12.10,10.20,11,5.50,5.90,3.40
823,21748476,127047,28232.60,3529,148.60,55.30,60.20,10.40,18.90,7.30,10.40,6.30,2.60
822,17058370,1041370,49589,5104.70,197.70,89.30,63.90,13,19.60,9.20,10.40,6.70,2.90
821,10500000,356550.50,33957.10,5402.20,179.60,95.40,62,12.50,19.80,10.40,10.80,6.70,3.20
820,17564689,290384.70,38717.90,3072.80,186.50,102.40,51.50,12.90,15.40,11.20,7.80,6.70,3.50
819,10639500,236017.90,33716.80,4214.60,171.20,103.70,59.10,12,18.20,11.40,9.10,6.40,3.70
818,28675998,140348.20,26732.90,3898.50,166,77,49.50,12,16.80,9.70,9.20,6.60,3.20
817,21651101,0,0,6775.20,167.30,75.40,54.40,10.80,17.60,8.90,9.80,6.10,3
816,16844082,0,121729.20,4564.80,183.60,106,52,13.20,14.50,11.90,6.90,6.50,3.60
815,10572000,0,59195.60,2573.70,182.70,94.20,51.20,12.40,15.80,10,8.40,6.50,3.20
814,29461344,0,38599.40,3711.40,136.10,83.70,42.20,8.60,15.20,9.50,8.10,5.40,3.30
813,22161317,259301.50,25930.10,5186,172.90,74.50,54.30,11.70,17.20,9.10,9.10,6.30,3
812,17408173,0,45851.60,3275.10,162.20,82.70,35.50,10,10.80,9.10,6,5.40,3
811,10653000,179583.40,59861.10,3627.90,156.80,77.30,50.90,11.30,15.80,9,8.30,6.20,3
810,17954602,63382.70,21127.50,1320.40,78.10,45.70,21.60,7.20,8.50,7.10,5.20,4.80,2.90
809,10669500,92390.50,30796.80,3849.60,159.40,77.50,47.70,11.60,14.90,9.60,7.80,6.40,3.20
808,17776969,95563.10,31854.30,2147.40,120.10,69.70,34.80,9.80,11.80,8.70,6.50,5.70,3.10
807,10785000,0,129601.10,3702.80,200.30,99.80,49.70,13,13.40,11.20,6.60,6.30,3.30
806,93388943.90,246326.10,65686.90,2692,133.10,63.30,36.30,9.30,12.20,8.10,6.80,5.30,2.90
805,82265988,0,38713.10,2732.60,142.10,69.20,41.30,10.10,13.70,8.40,7.60,5.80,2.90
804,72850000,223571.50,67071.40,5081.10,209.20,100,46.20,12.70,14.30,10.20,7.50,6.40,3.10
803,15874102,0,0,3539.70,156.30,69.90,52.90,11.40,16,8.70,8.50,6.30,3
802,10791000,381983.50,47747.90,6585.90,219.30,108.30,55,13.30,15.70,11.20,7.70,6.50,3.30
801,26656367,254780.40,42463.40,1179.50,99,62.30,26.20,7.50,11.50,7.80,7.90,4.60,2.80
800,22169936,0,62795.20,5091.50,185,99.10,62.90,13,17.90,10.90,9.40,6.60,3.40
799,15476457,0,41664.10,5681.40,231.70,113.20,71.60,15.50,20.50,12.10,10.10,7.40,3.50
798,10932000,1020652.90,85054.40,4725.20,215.40,108,57.20,12.80,18.50,11.50,9.30,6.50,3.50
797,34276743,137945.40,91963.60,3831.80,219.40,104.80,43.60,13,14.50,11.20,7.30,6.60,3.50
796,29532380,378884.40,27063.10,4209.80,167.40,76.40,55.50,11.50,16.80,8.80,9.20,6.20,2.90
795,22723433,0,0,4024.90,138.70,73.60,51.90,9.90,16,8.50,8.80,5.60,2.90
794,17749913,145322.10,22605.60,8073.40,164.40,65.80,58,11.30,18.20,7.90,9.70,6.40,2.70
793,10741500,186128.50,0,5170.20,208.30,97.70,59.10,12.80,19.10,10.40,10,6.70,3.30
792,36298267.30,337742.30,30021.50,3311.10,158.20,75.20,50.60,11.20,16.60,8.90,8.90,6.30,3
791,28100414,0,48033.90,4002.80,182.40,80.80,55.50,12.20,16.20,9.70,8.60,6.50,3.10
790,22844230,379032.50,126344.10,5414.70,223.70,102.80,68,13.80,20.10,10.70,10.30,7.10,3.20
789,15639792,382155.70,0,4392.50,222,99.90,57.80,13.70,19.30,10.90,9.80,7.20,3.50
788,10876500,544386.40,120974.70,2668.50,177.80,105,39,10.80,10.90,10.10,5.80,5.60,3.20
787,15679890,368649.70,30720.80,2457.60,124.50,84,33.80,10.40,10.80,10.30,5.60,5.90,3.40
786,11055000,135716.90,21288.90,3692.90,144,74.30,50.70,11.60,15.80,9.60,8.10,6.40,3.30
785,53193914,0,36534.90,3574,148.90,83.20,47.90,10.10,15.70,9.60,8.70,5.70,3.20
784,47673633,231385.40,38564.20,5932.90,184,99.70,60.70,13.40,19,10.90,9.90,7.20,3.30
783,38975399,0,0,3597.80,167.60,76.90,55.50,12.30,17.30,9.70,9.20,6.50,3.10
782,32843195,207643.90,59326.80,3993.10,203.90,90.60,67.20,14.40,21,10.10,10.80,7.60,3.20
781,24825416,209614.40,16440.30,3583.10,130.60,54.90,47.10,10.20,15.60,7.70,8.50,6,2.90
780,19376761,178147.80,39588.40,2699.20,134,64.20,40.30,9.40,13.20,8,7.60,5.30,2.70
779,10656000,0,89813.80,3454.30,147.50,76.60,53.10,10.90,17.30,8.90,9.30,6.30,3
778,72180000,241406.80,72422,4362.70,182.90,99,48.20,12.30,14.10,10.70,6.60,6.50,3.50
777,59016205,62732.70,27345,1777.40,73.70,48.10,33.30,6.80,13,6.90,8,4.50,2.70
776,52055697,0,38331.20,4152.50,152.40,68.40,59.90,11.10,19.30,8.20,10.40,6.30,2.80
775,43197448,293674.20,97891.30,3765,205.50,97.10,52.30,13.30,15.80,9.50,8.70,7,2.90
774,37807029,242496.10,80832,2694.40,174.30,102.30,36.70,11.10,11.10,10.50,6.10,5.90,3.30
773,30050324,0,0,4784.90,173.60,72.10,65.10,12.60,19.90,8.60,10.60,6.90,2.90
772,24682682,220314.70,55078.60,3734.10,143.50,65.60,60.50,11.20,19.20,8.70,10.10,6.40,3
771,16073137,751192.80,0,4038.60,141.50,62.90,57.60,10.10,18.50,7.70,10.60,6,2.70
770,11154000,0,29562.10,4223.10,163.30,87.80,53.40,10.40,16.90,9.20,8.80,5.90,3.40
769,11370000,0,26733.20,3880.60,156.60,76.40,44.80,10.60,15.70,9.40,8.80,6.10,3.10
768,5622000,0,24233.60,1762.40,93.40,52.20,30.10,7.60,10.20,7,6,4.80,2.60
767,16266792,377971.20,50396.10,4199.60,185.50,84.90,60.10,11.90,17.80,9,9.70,6.40,2.90
766,11247000,1067104.10,50814.40,5737.10,192.50,100.80,56.20,13,16.70,10.40,8.40,6.60,3.20
765,12413744,0,65134.80,3101.60,170.80,80.30,58.40,12.40,19.50,9.60,10.20,7,3.20
764,19476379,587098.20,78279.70,4163.80,204.50,108.30,51.70,13.70,14.90,12,6.90,6.90,3.70
763,11659500,193047.60,17159.70,3574.90,139.10,56.70,60.70,10.80,19.80,7.60,10.50,6.20,2.70
762,24754047,220515.40,36752.50,4711.80,177.20,66.50,55.70,12.80,17.60,8.30,9,7,2.80
761,16954080,360756.30,60126,4146.60,175.30,92.10,51.90,11.40,16.20,10.10,8.50,6,3.20
760,11751000,0,40160.50,5020,150.90,86.60,41.70,10.80,12.30,9.50,6.20,5.60,3
759,11727000,201210.50,44713.40,2484,176.70,85.90,55.60,12.70,18,10.10,9.60,6.60,3.10
758,19781351,0,24683.80,5289.30,155,93.20,52.60,11.10,16.20,10.10,8.40,5.50,3.10
757,11787000,270957.70,27095.70,4105.40,154.90,62.10,51.70,10.40,16.40,7.30,8.80,5.90,2.60
756,11737500,214232.20,71410.70,2879.40,176.30,91.60,34.20,10.80,10.50,9.90,5.40,5.80,3.20
755,31462687,0,23584.70,990.10,60,30.80,18,5.50,7.30,4.90,4.80,4,2.20
754,25517469,381582.80,54511.80,2687.20,166.90,80.30,39.10,11.30,12.40,9.20,6.50,6.20,3.10
753,17246777,757729.20,50515.20,3714.30,247.70,108.30,72,14.50,20.40,10.90,10.10,7.20,3.20
752,11851500,0,91646.60,5091.40,195.30,99.90,59.90,12.40,16.90,11.10,8.40,5.90,3.30
751,57837341,315219.50,0,9850.60,159.90,78.60,41.50,11.10,13.10,9.10,7.20,5.90,2.90
750,51217623,200201.80,22244.60,3538.90,134.60,54.60,51.10,10.50,17.20,7.40,9.40,6,2.60
749,40715869,0,58325,2916.20,147.40,65.70,44.10,10.50,13.80,7.90,7.40,5.80,2.70
748,34100271,1175106.10,78340.40,4896.20,165.40,70.40,46.90,10.90,14.90,8.40,8,5.80,2.70
747,26007143,260022.10,52004.40,4333.70,214.20,88.80,61.50,12.90,19,9,9.80,6.70,2.90
746,20235047,373794.70,0,2748.40,186.20,100,36.70,11.70,11.30,10.70,5.70,6.20,3.50
745,11766000,0,137598.40,3541.10,171.20,86.70,56.10,11.90,17.20,9.80,8.90,6.40,3.20
744,12935936.30,393432.70,30264,4574.70,176.30,68.40,65.60,12.90,19.90,8.80,10.50,7,2.90
743,17438916,129350.50,23518.20,1319.90,84.80,49.20,22.90,7.10,8.30,7,5,4.50,2.70
742,11763000,255073.10,0,2415.40,114.80,61.10,31.50,8.90,10.20,8,6,5.10,2.80
741,11848500,404235.60,38498.60,3641.70,161.90,79.20,54.20,11.40,15.70,9.40,8.50,5.80,2.90
740,149758000,1617162.40,37442.20,3056.50,150.20,68.90,44.20,10.70,14.50,8.50,7.90,5.90,2.90
739,143641614,241508.90,32201.10,3500.10,169.10,78.30,50.70,11.10,15.60,8.70,8.30,6,2.80
738,130128674,551772.90,43276.30,4087.20,183.70,84.70,57.30,12.10,17.80,9.60,9.20,6.60,3.10
737,114362313,511642.80,30096.60,1421.20,114.30,62.20,24.80,8.70,8.40,7.80,4.80,5.10,2.80
736,101812996,271449.50,57580.20,4726.70,206,99,62.20,13.10,19,10.60,9.90,6.80,3.30
735,88304909,333167.40,34171,3315,138.40,66.30,45.10,10.10,14.60,8.10,8,5.70,2.80
734,78370000,215228.30,33983.40,3398.30,152.10,69.10,43.40,10.20,14,8.30,7.80,5.60,2.80
733,25668301,97254,43224,1157.70,83.90,53,18.70,6.70,7.70,7.20,4.70,4.60,2.90
732,20137574,197160.30,78864.10,3865.80,167.80,80.60,55.50,11.70,17.80,9.30,9,6.30,3.10
731,11770500,260041.60,0,3611.60,138.90,81,39.60,9.50,12,8.70,6.70,5.10,2.80
730,68362889,0,25579.30,3564.30,180.10,91.60,43.80,11.30,12.90,9.70,6.40,6,3.20
729,59479470,0,50007.40,4412.40,191.60,101.40,49.60,11.90,14.10,10.40,6.90,6,3.10
728,52772468,200043.60,33340.60,2740.30,118.30,59.10,43.80,9.10,14.50,7.40,8.30,5.30,2.60
727,44245873,132973.20,18996.10,3243.20,139.30,62.20,50.50,9.90,16.50,7.60,9.30,5.60,2.60
726,37783420,217151.30,27839.90,1723.40,107.60,51.70,40.40,10.90,12.50,9.60,6.20,5.90,3.20
725,29994082,369962.80,35234.50,4404.30,181.60,78.70,52.60,11.20,16.30,8.50,8.30,6.30,3
724,24464842,207980.30,173316.90,2063.20,160.30,85.60,28.20,10.60,10.80,9.80,6.20,5.70,3.10
723,16991311,115285.10,0,3842.80,159.60,79.60,61.30,12.70,19.50,9.60,10.10,6.90,3.10
722,12000000,192324,26711.60,5342.30,151.10,76,53.20,11,16.90,8.90,8.50,6,3
721,43584628,157766.50,23904,2480.60,87.20,71,42.30,7.90,13.70,8.40,7.70,4.70,2.90
720,37718167,496371,27576.10,4596,152.70,58.90,54.90,10.30,18,7,9.90,5.80,2.40
719,30079457,0,48516.60,1410.30,90.20,53,24.20,7.10,8.70,7,5.40,4.40,2.60
718,24759542,256541.50,31095.90,4072,204.10,91.10,51.90,13.20,15.30,10.50,7.40,6.70,3.30
717,17029645,0,32968.40,2747.30,82.80,44.90,38.40,7.10,13.80,6.20,8.10,4.70,2.40
716,11977500,163443.80,23349.10,3986.40,151.10,79.40,58,13,17.50,11,8.60,7,3.50
715,29815964,0,0,2471.20,147.10,77.30,40.20,10.60,12.10,9.60,6.40,5.70,3.10
714,24470875,1033362.90,43056.70,1957.10,118.70,71.40,28,8.20,9.20,8.20,5.30,4.80,2.90
713,16916606,0,184181.60,2677,178.90,95.70,42.70,12.30,12,10.90,5.40,6.30,3.40
712,11878500,500505.10,111223.30,4069.10,173.70,90.80,56.50,11.50,19.10,9.40,10.10,6.40,3.10
711,53758144,0,0,2842.90,127.10,64.20,41.60,9.40,14,7.70,7.50,5.40,2.70
710,47789038,0,31957.90,3617.80,133.70,68.20,40,10.30,12.30,8.90,6.20,5.70,3.10
709,39193498,112104.30,0,2972.40,116.60,48,50.50,8.90,16.70,6.20,9.50,5.50,2.40
708,33347512,278795.10,74345.30,3954.50,173.90,86.70,44.50,12.30,13.10,10.30,6.40,6.50,3.30
707,25344616,251828,35975.40,2997.90,136.10,67.70,42.40,9.50,14,7.90,7.80,5.50,2.70
706,19914711,0,116852.90,4494.30,212.70,91.70,64.80,14,19.30,10.80,9.50,7.30,3.30
705,12021000,223500.80,44700.10,2598.80,130.50,85.20,32.60,9,9.70,8.90,5.60,5,2.90
704,19964918,154144.50,32697.30,3330.20,127.40,62.70,46.50,9.50,16.80,7.70,8.50,5.80,2.90
703,11983500,0,80481.50,2568.50,161.70,87.20,57.30,11,16.20,9.90,8.30,5.60,3.10
702,109589905,0,60654.60,3748.30,165.80,72.90,54.70,11.20,16.70,8.30,8.90,6.20,2.80
701,95933457,138484.30,29675.20,3405.30,169.70,64.20,48.10,11.20,15.40,7.30,8.20,6.20,2.50
700,86858395,476502.90,33438.80,4474.20,189.80,90.60,55.50,12.10,16.90,9.50,8.80,6.30,3
699,72437363,0,0,4047.20,146.20,81.20,42.80,10.70,13.90,9.20,7.50,5.90,3
698,64246871,250320.10,52150,3259.30,151.70,81.80,47.30,10,14.40,9.30,7.50,5.30,3
697,54445724,136065.80,24739.20,2194.60,101.40,47.10,32.70,7.90,12,6.10,7.20,5.10,2.40
696,48094706,379639.40,75927.80,4038.70,190,87.10,65.40,12.60,18.90,9.50,9.70,6.60,2.90
695,39669453,0,35456.20,7299.80,215.80,96,43.80,12.50,13.10,10.40,6.40,6.40,3.20
694,33974182,0,58982.50,2949.10,154.30,82.30,46.30,10.30,14.70,9.40,7.70,5.50,3.10
693,25746571,243327.90,60831.90,2829.30,156.30,76.70,41.60,11.30,11.70,9.30,5.90,5.80,2.90
692,20214823,1068992,50904.30,3711.70,157.70,80.20,59,10.60,17.70,8.60,9.60,5.80,2.80
691,12321000,227820.20,20710.90,3164.10,148.50,66.50,37.90,10.50,12.50,8.10,6.90,5.80,2.80
690,73205659.50,269069.90,224225,4576,208.20,97,59.70,12.70,18.20,9.70,9.30,6.50,3
689,62955401,0,37631.20,3272.20,131.70,63.10,51.50,10.10,17.10,8,9.20,5.80,2.70
688,56005506,0,27134.40,2183.20,133.10,69,36.70,9.60,11.90,7.80,6.60,5.40,2.60
687,46672601,376122,0,3917.90,162.20,80,45.60,10.30,14.50,8.30,7.80,5.60,2.80
686,40962533,0,44102.30,2450.10,146.80,78.10,29.60,10.70,8.70,9.80,4.30,5.70,3.20
685,32625427,0,30446.70,4510.60,148,78.70,53.10,11.10,16.10,8.90,8.60,5.90,2.90
684,26905670,104153.70,20099.80,3818.90,119.30,45.90,50.60,9.40,17.40,6.40,9.70,5.70,2.40
683,17853605,140107.60,38918.70,3155.50,160.60,67.10,52.20,10.80,16.90,8.30,9.60,6,2.70
682,12415500,0,0,3283.80,169.80,64.80,50,12.20,15.30,7.60,9,6.90,2.50
681,12457500,169485.60,0,2404,143.20,69.80,52.10,10.80,17.70,8.40,9.80,6.10,2.80
680,20942416,179315.40,51232.90,1519.60,117.50,66.50,20.10,8.20,6.60,8.20,3.90,4.60,2.70
679,12549000,0,73167.10,2494.30,144.10,68.60,29.70,9.30,9.30,7.80,5.10,5,2.60
678,21325022,373910.40,46738.80,2832.60,182.10,97.40,31.20,10.50,8.90,10.60,4.60,5.40,3.30
677,12603000,181079.90,60359.90,3894.10,158.60,86.70,54,11.10,16.20,9.30,8.40,6.20,3
676,107932603.20,251609.50,34534.60,2329.70,125.20,68.50,31.30,8.70,10.10,8.10,5.40,4.90,2.80
675,93707468,250798.70,37999.80,2824.30,126.80,66,44.50,8.80,14,8,7.60,4.90,2.70
